lat,lon,name,weight,food
49.260812,-123.125736,Starbucks,3.0,1
49.260953,-123.125704,Salad Loop,2.0,1
49.2498481,-122.959708,,1.0,1
49.1266497,-123.1824699,Best Bite Indian Cuisine,6.0,1
49.1935797,-123.1807883,Tim Hortons,3.0,1
49.2284004,-122.8483834,Tim Hortons,3.0,1
49.212449,-122.9197493,Tim Hortons,3.0,1
49.212659,-122.9193469,Starbucks,3.0,1
49.1712762,-123.1348734,Oriental Rice Noodle,6.0,1
49.1327053,-123.0991859,Nando's,6.0,1
49.1330103,-123.0955358,Boston Pizza,6.0,1
49.2347493,-123.1547249,McDonald's,2.0,1
49.2819978,-123.1243463,Scotiabank Theatre Vancouver,5.0,0
49.2805037,-123.1068723,Cineplex Odeon International Village Cinemas,5.0,0
49.2635825,-123.1288364,Waves,3.0,1
49.1401463,-123.1378853,Subway,2.0,1
49.1398614,-123.137394,KFC,2.0,1
49.1486188,-123.1358921,Pizza Hut (takeout),2.0,1
49.1330851,-123.0940869,McDonald's,2.0,1
49.1329977,-123.0973124,Burger King,2.0,1
49.2195944,-123.0668488,VPL Fraserview Branch,2.0,0
49.091207,-122.9564485,Triple O's,2.0,1
49.0919518,-122.9576502,Tim Hortons,3.0,1
49.2685718,-123.1045263,Argo Cafe,3.0,1
49.2665754,-123.103744,Peaceful Restaurant,6.0,1
49.186067800000004,-122.9435292,Queensborough Library,2.0,0
49.2779185,-122.912361,Pho 99,6.0,1
49.278119,-122.9122848,Starbucks,3.0,1
49.281302,-123.0575579,Tacofino Commissary,6.0,1
49.2812984,-123.0573443,Miyako Sushi,6.0,1
49.2812866,-123.0550913,What's Up? Hot Dog!,6.0,1
49.2821554,-123.0998393,Waves Coffee,3.0,1
49.2832655,-123.0978958,St Lawrence Restaurant,6.0,1
49.2832876,-123.0980745,Cuhillo,6.0,1
49.2831728,-123.0935162,The Uncommon Cafe,3.0,1
49.2796054,-123.1002799,Juniper,6.0,1
49.2796207,-123.1011093,Gold Stone Bakery & Restaurant,6.0,1
49.2831638,-123.1035309,The Sardine Can,6.0,1
49.2834234,-123.1064112,Jules Bistro,6.0,1
49.2731066,-123.1007271,Tim Hortons,3.0,1
49.2427766,-123.0040514,Crystal Palace,6.0,1
49.2427149,-123.004048,Subway,2.0,1
49.1720953,-123.1336083,Tokyo Joe's,6.0,1
49.325981,-123.1423367,Cactus Club Cafe,6.0,1
49.2769081,-122.8589634,Starbucks,3.0,1
49.2873953,-123.1288386,JoongWon,6.0,1
49.2866244,-123.1282577,Chongqing on Robson,2.0,1
49.287665,-123.1292506,Stepho's,6.0,1
49.2867409,-123.1284213,A Taste of India,2.0,1
49.2875709,-123.1291089,Hon's Wun-Tun House,6.0,1
49.2873728,-123.1282271,miss KOREAN BBQ,6.0,1
49.2871553,-123.1290789,Forage,6.0,1
49.2870445,-123.128902,Timber,6.0,1
49.2874858,-123.1289807,Miko Sushi,6.0,1
49.2875631,-123.129718,Cora,6.0,1
49.2866006,-123.1282087,Chatime,3.0,1
49.2865615,-123.1281828,Pok'e Time,2.0,1
49.2864194,-123.1272344,Abode,3.0,1
49.2623529,-123.0894813,Hail Mary's,6.0,1
49.2657244,-123.2430971,Red Burrito,2.0,1
49.2661113,-123.2420861,Pita Pit,2.0,1
49.2660115,-123.2423353,Only U Cafe,3.0,1
49.1203849,-122.6632837,Umami Sushi,6.0,1
49.0558043,-122.2722298,Subway,2.0,1
49.13295,-122.5818856,Triple O's,2.0,1
49.2821191,-123.1336624,Ramen Koika,6.0,1
49.2814778,-123.1336029,Exile,3.0,1
49.0408954,-122.2698339,Starbucks,3.0,1
49.2764267,-122.849875,Spacca Napoli,6.0,1
49.2292458,-123.0046943,Mermaid Fountain,1.0,0
49.2873431,-123.1143935,Starbucks,3.0,1
49.2842686,-123.1197597,Smokehouse Sandwich Co,2.0,1
49.2387806,-123.0316319,Tim Hortons,3.0,1
49.2641324,-123.1816701,Essentia Cafe,3.0,1
49.2643451,-123.1757208,Deacon's Corner,6.0,1
49.2686141,-123.158778,Starbucks,3.0,1
49.2863279,-123.1256179,Kirin Mandarin Restaurant,6.0,1
49.285993500000004,-123.1250868,Pink Elephant Thai,6.0,1
49.285902899999996,-123.1249177,Tim Hortons,3.0,1
49.2860548,-123.1251718,A&W,2.0,1
49.2860886,-123.1252316,Subway,2.0,1
49.28525,-123.1254062,Fantacity Karaoke,6.0,1
49.2876133,-123.1149238,Starbucks,3.0,1
49.2633356,-123.1144174,A&W,2.0,1
49.2630977,-123.1172998,Elysian Coffee Roasters,3.0,1
49.212995,-123.1401,Starbucks,3.0,1
49.3721579,-123.0988075,Starbucks,3.0,1
49.3810218,-123.0791455,Beaver Tails,2.0,1
49.1797273,-123.137991,Paul's Kitchen,3.0,1
